loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
21.32133674621582,0.10014999657869339,2.3030648231506348,0.09849999845027924,1,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3716278076171875,0.09962499886751175,2.303187847137451,0.09889999777078629,2,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.334444522857666,0.09767500311136246,2.3031649589538574,0.0925000011920929,3,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3253097534179688,0.09844999760389328,2.303007125854492,0.0925000011920929,4,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3280797004699707,0.09920000284910202,2.3031222820281982,0.0925000011920929,5,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302791118621826,0.09934999793767929,2.3034017086029053,0.0925000011920929,6,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3027429580688477,0.09915000200271606,2.303194046020508,0.10090000182390213,7,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3027071952819824,0.09870000183582306,2.303377628326416,0.0925000011920929,8,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3027281761169434,0.09962499886751175,2.3032116889953613,0.09870000183582306,9,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302903413772583,0.09827499836683273,2.3030450344085693,0.09790000319480896,10,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026604652404785,0.0988750010728836,2.3034188747406006,0.0925000011920929,11,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302722930908203,0.10154999792575836,2.3031554222106934,0.0925000011920929,12,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026726245880127,0.09780000150203705,2.3031928539276123,0.09889999777078629,13,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.30269455909729,0.09902500361204147,2.3033268451690674,0.0925000011920929,14,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3027076721191406,0.09852500259876251,2.302968978881836,0.0925000011920929,15,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026633262634277,0.09730000048875809,2.3031656742095947,0.0925000011920929,16,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302717447280884,0.09910000115633011,2.3032214641571045,0.0925000011920929,17,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302656650543213,0.10114999860525131,2.3032140731811523,0.0925000011920929,18,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302691698074341,0.10034999996423721,2.303105354309082,0.09870000183582306,19,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3027048110961914,0.09692499786615372,2.303219795227051,0.0925000011920929,20,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026883602142334,0.10027500241994858,2.3030989170074463,0.09790000319480896,21,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026647567749023,0.10040000081062317,2.3032631874084473,0.09969999641180038,22,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3027138710021973,0.09987500309944153,2.303105592727661,0.0925000011920929,23,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.30269718170166,0.09952499717473984,2.303053855895996,0.0925000011920929,24,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026931285858154,0.09969999641180038,2.3032565116882324,0.09870000183582306,25,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302659273147583,0.1006999984383583,2.303454637527466,0.09870000183582306,26,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.30271053314209,0.09780000150203705,2.3031582832336426,0.09939999878406525,27,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302685499191284,0.09740000218153,2.3030855655670166,0.1023000031709671,28,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.302703619003296,0.09937500208616257,2.3031668663024902,0.0925000011920929,29,DenseNet,RMSprop,learning_rate,0.001,cifar10
2.3026974201202393,0.09802500158548355,2.303083896636963,0.09889999777078629,30,DenseNet,RMSprop,learning_rate,0.001,cifar10
