loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
2.71338152885437,0.10204999893903732,2.5232651233673096,0.09969999641180038,1,ResNet32,Adam,learning_rate,1,cifar10
2.4131457805633545,0.10097499936819077,2.3659379482269287,0.09889999777078629,2,ResNet32,Adam,learning_rate,1,cifar10
2.9843990802764893,0.10247500240802765,80.24544525146484,0.12200000137090683,3,ResNet32,Adam,learning_rate,1,cifar10
2.412088394165039,0.10257499665021896,2.3307745456695557,0.09939999878406525,4,ResNet32,Adam,learning_rate,1,cifar10
2.40553617477417,0.10100000351667404,2.384876012802124,0.09889999777078629,5,ResNet32,Adam,learning_rate,1,cifar10
2.4166407585144043,0.0986500009894371,2.4501142501831055,0.09889999777078629,6,ResNet32,Adam,learning_rate,1,cifar10
2.405212163925171,0.10159999877214432,2.348299980163574,0.09870000183582306,7,ResNet32,Adam,learning_rate,1,cifar10
2.6298131942749023,0.10154999792575836,2.4317188262939453,0.09870000183582306,8,ResNet32,Adam,learning_rate,1,cifar10
2.4070913791656494,0.10090000182390213,2.437352180480957,0.09889999777078629,9,ResNet32,Adam,learning_rate,1,cifar10
2.414933204650879,0.09995000064373016,2.400487184524536,0.10050000250339508,10,ResNet32,Adam,learning_rate,1,cifar10
2.40775203704834,0.09709999710321426,2.3589584827423096,0.10239999741315842,11,ResNet32,Adam,learning_rate,1,cifar10
2.411907196044922,0.09987500309944153,2.418290376663208,0.09790000319480896,12,ResNet32,Adam,learning_rate,1,cifar10
2.4151031970977783,0.09880000352859497,2.3899967670440674,0.0925000011920929,13,ResNet32,Adam,learning_rate,1,cifar10
2.412081003189087,0.09822499752044678,2.381054162979126,0.10909999907016754,14,ResNet32,Adam,learning_rate,1,cifar10
2.4116201400756836,0.09735000133514404,2.420630693435669,0.09939999878406525,15,ResNet32,Adam,learning_rate,1,cifar10
2.412898540496826,0.10154999792575836,2.423276901245117,0.10239999741315842,16,ResNet32,Adam,learning_rate,1,cifar10
2.4103076457977295,0.09952499717473984,2.4104366302490234,0.09939999878406525,17,ResNet32,Adam,learning_rate,1,cifar10
2.415358066558838,0.10022500157356262,2.4958815574645996,0.09870000183582306,18,ResNet32,Adam,learning_rate,1,cifar10
2.4110922813415527,0.09897500276565552,2.407203197479248,0.09870000183582306,19,ResNet32,Adam,learning_rate,1,cifar10
2.4110729694366455,0.09907499700784683,2.4106945991516113,0.10239999741315842,20,ResNet32,Adam,learning_rate,1,cifar10
2.4071216583251953,0.0994499996304512,2.361269235610962,0.09870000183582306,21,ResNet32,Adam,learning_rate,1,cifar10
2.4124772548675537,0.10167499631643295,2.437267303466797,0.10909999907016754,22,ResNet32,Adam,learning_rate,1,cifar10
2.4073891639709473,0.10012499988079071,2.3506064414978027,0.09870000183582306,23,ResNet32,Adam,learning_rate,1,cifar10
2.4136297702789307,0.10014999657869339,2.40954327583313,0.10239999741315842,24,ResNet32,Adam,learning_rate,1,cifar10
2.409222364425659,0.09982500225305557,2.3784019947052,0.10050000250339508,25,ResNet32,Adam,learning_rate,1,cifar10
2.412369728088379,0.10217499732971191,2.4259824752807617,0.0925000011920929,26,ResNet32,Adam,learning_rate,1,cifar10
2.4125561714172363,0.10192500054836273,2.5216124057769775,0.09870000183582306,27,ResNet32,Adam,learning_rate,1,cifar10
2.410027503967285,0.10114999860525131,2.435317277908325,0.10050000250339508,28,ResNet32,Adam,learning_rate,1,cifar10
2.410773515701294,0.09707500040531158,2.4447951316833496,0.10239999741315842,29,ResNet32,Adam,learning_rate,1,cifar10
2.412476062774658,0.09775000065565109,2.3324692249298096,0.10090000182390213,30,ResNet32,Adam,learning_rate,1,cifar10
