loss,accuracy,val_loss,val_accuracy,epoch,model,optimizer,parameter,parameter_value,dataset
2.54006028175354,0.22237500548362732,1.9204792976379395,0.31779998540878296,1,ResNet32,Adam,learning_rate,1e-05,cifar10
1.8095109462738037,0.3497749865055084,1.6874170303344727,0.3855000138282776,2,ResNet32,Adam,learning_rate,1e-05,cifar10
1.6407525539398193,0.40459999442100525,1.564159631729126,0.42980000376701355,3,ResNet32,Adam,learning_rate,1e-05,cifar10
1.5456262826919556,0.43650001287460327,1.4841810464859009,0.45080000162124634,4,ResNet32,Adam,learning_rate,1e-05,cifar10
1.4796842336654663,0.460750013589859,1.4298210144042969,0.47110000252723694,5,ResNet32,Adam,learning_rate,1e-05,cifar10
1.42472243309021,0.4791249930858612,1.4087638854980469,0.484499990940094,6,ResNet32,Adam,learning_rate,1e-05,cifar10
1.3779683113098145,0.49822500348091125,1.3835234642028809,0.49149999022483826,7,ResNet32,Adam,learning_rate,1e-05,cifar10
1.3323078155517578,0.5156499743461609,1.3403599262237549,0.5126000046730042,8,ResNet32,Adam,learning_rate,1e-05,cifar10
1.2899696826934814,0.5322999954223633,1.3135671615600586,0.5169000029563904,9,ResNet32,Adam,learning_rate,1e-05,cifar10
1.2546825408935547,0.5446500182151794,1.302060604095459,0.5241000056266785,10,ResNet32,Adam,learning_rate,1e-05,cifar10
1.2254691123962402,0.558525025844574,1.3002818822860718,0.5242999792098999,11,ResNet32,Adam,learning_rate,1e-05,cifar10
1.1896591186523438,0.5719249844551086,1.2708656787872314,0.5406000018119812,12,ResNet32,Adam,learning_rate,1e-05,cifar10
1.1610440015792847,0.5835000276565552,1.285336971282959,0.5339999794960022,13,ResNet32,Adam,learning_rate,1e-05,cifar10
1.1288225650787354,0.5942749977111816,1.2716635465621948,0.5396000146865845,14,ResNet32,Adam,learning_rate,1e-05,cifar10
1.1036139726638794,0.6021249890327454,1.2665404081344604,0.546999990940094,15,ResNet32,Adam,learning_rate,1e-05,cifar10
1.0749536752700806,0.6135749816894531,1.2449133396148682,0.554099977016449,16,ResNet32,Adam,learning_rate,1e-05,cifar10
1.047304630279541,0.6227250099182129,1.2687122821807861,0.5485000014305115,17,ResNet32,Adam,learning_rate,1e-05,cifar10
1.0218744277954102,0.6353499889373779,1.2613719701766968,0.5532000064849854,18,ResNet32,Adam,learning_rate,1e-05,cifar10
1.0032074451446533,0.6431499719619751,1.2366100549697876,0.5630999803543091,19,ResNet32,Adam,learning_rate,1e-05,cifar10
0.9777057766914368,0.6502500176429749,1.2542283535003662,0.5555999875068665,20,ResNet32,Adam,learning_rate,1e-05,cifar10
0.9486190676689148,0.6599249839782715,1.2664356231689453,0.5611000061035156,21,ResNet32,Adam,learning_rate,1e-05,cifar10
0.9243735074996948,0.6703749895095825,1.270546793937683,0.5593000054359436,22,ResNet32,Adam,learning_rate,1e-05,cifar10
0.9013055562973022,0.6798999905586243,1.3075807094573975,0.5570999979972839,23,ResNet32,Adam,learning_rate,1e-05,cifar10
0.8736661076545715,0.6902999877929688,1.284157633781433,0.5605999827384949,24,ResNet32,Adam,learning_rate,1e-05,cifar10
0.8558256030082703,0.6943749785423279,1.3341920375823975,0.5508000254631042,25,ResNet32,Adam,learning_rate,1e-05,cifar10
0.8284555673599243,0.7073000073432922,1.3369938135147095,0.5497000217437744,26,ResNet32,Adam,learning_rate,1e-05,cifar10
0.8106139898300171,0.7138000130653381,1.341800332069397,0.5537999868392944,27,ResNet32,Adam,learning_rate,1e-05,cifar10
0.7786761522293091,0.725724995136261,1.2995156049728394,0.5665000081062317,28,ResNet32,Adam,learning_rate,1e-05,cifar10
0.7639167308807373,0.7317749857902527,1.3314759731292725,0.5593000054359436,29,ResNet32,Adam,learning_rate,1e-05,cifar10
0.7385362386703491,0.7381250262260437,1.3578828573226929,0.555899977684021,30,ResNet32,Adam,learning_rate,1e-05,cifar10
